report.docx	John Smith,David Lee,Lisa Jones,
presentation.ppt	John Smith,Emily Davis,Lisa Jones,Robert Green,Sarah Johnson,
budget.xlsx	John Smith,Sarah Johnson,Lisa Jones,
notes.txt	John Smith,Lisa Jones,
projectplan.doc	Michael Brown,John Smith,Karen Thompson,Robert Green,
proposal.pdf	John Smith,Jack Kim,Robert Green,Tom Wilson,Maria Rodriguez,
usermanual.docx	John Smith,Emily Davis,Robert Green,
agenda.pdf	Maria Rodriguez,Susan Taylor,John Smith,Rachel Hernandez,
meetingminutes.doc	Peter Nguyen,John Smith,
invoice.pdf	Alex Chen,Maria Rodriguez,John Smith,Jack Kim,
picture.png	Robert Green,John Smith,Tom Wilson,
blank.pdf	Maria Rodriguez,John Smith,
source.html	John Smith,
roadmap.png	Maria Rodriguez,John Smith,Rachel Hernandez,
price.xlsx	Robert Green,John Smith,Tom Wilson,
